"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri7_z_h.ss","fri9_z_h.ss","fri7_mm_h.ss","fri9_mm_h.ss","fri7_d_h.ss","fri9_d_h.ss","fri7_z_h.m","fri9_z_h.m","fri7_mm_h.m","fri9_mm_h.m","fri7_d_h.m","fri9_d_h.m","fri7_z_nh.ss","fri9_z_nh.ss","fri7_mm_nh.ss","fri9_mm_nh.ss","fri7_d_nh.ss","fri9_d_nh.ss","fri7_z_nh.m","fri9_z_nh.m","fri7_mm_nh.m","fri9_mm_nh.m","fri7_d_nh.m","fri9_d_nh.m","frp_base","fri7_base","fri9_base","fri9_counts","fri7_counts","is_urban","frp_range","fri_any","fri_any_z"
53053071506,0.554869684499314,0.59122085048011,0.493827160493827,0.48079561042524,0.646776406035665,0.627572016460905,0.53840877914952,0.573388203017833,0.48079561042524,0.497942386831276,0.664609053497942,0.655692729766804,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.7,1,0,0,5,1,0.21920438957476,1,0
53053071601,0.874485596707819,0.888203017832647,0.849108367626886,0.834705075445816,0.938957475994513,0.932098765432099,0.906035665294925,0.911522633744856,0.893689986282579,0.887517146776406,0.922496570644719,0.920438957475994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.165294924554184,1,1
53053071602,0.794238683127572,0.818930041152263,0.748285322359396,0.742798353909465,0.912208504801097,0.893004115226337,0.812757201646091,0.823731138545953,0.791495198902606,0.803155006858711,0.891632373113855,0.883401920438957,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.9,1,1,9,13,1,0.169410150891632,1,1
53053071703,0.923868312757202,0.933470507544582,0.912894375857339,0.912894375857339,0.912208504801097,0.909465020576132,0.934842249657064,0.93758573388203,0.943072702331962,0.946502057613169,0.896433470507545,0.893689986282579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,13,13,1,0.05281207133059,1,1
53053071704,0.871056241426612,0.880658436213992,0.895061728395062,0.901234567901235,0.831275720164609,0.847050754458162,0.92318244170096,0.929355281207133,0.949245541838134,0.951303155006859,0.902606310013717,0.899862825788752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,13,13,1,0.12002743484225,1,1
53053071705,0.840192043895748,0.848422496570645,0.834705075445816,0.85116598079561,0.831275720164609,0.847050754458162,0.897805212620027,0.903292181069959,0.907407407407407,0.917009602194787,0.919067215363512,0.921124828532236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,13,13,1,0.0898491083676269,1,1
53053071706,0.885459533607682,0.896433470507545,0.901920438957476,0.906035665294925,0.89437585733882,0.891632373113855,0.858710562414266,0.867626886145405,0.882030178326475,0.890946502057613,0.86076817558299,0.863511659807956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.141289437585734,1,1
53053071707,0.801783264746228,0.814128943758573,0.801783264746228,0.818244170096022,0.912208504801097,0.925240054869685,0.769547325102881,0.779835390946502,0.780521262002744,0.796982167352538,0.831275720164609,0.845679012345679,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,9,13,1,0.230452674897119,1,1
53053071803,0.766117969821674,0.779835390946502,0.760631001371742,0.779149519890261,0.89437585733882,0.911522633744856,0.765432098765432,0.776406035665295,0.802469135802469,0.827846364883402,0.819615912208505,0.835390946502058,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0.9,1,1,7,13,1,0.150891632373114,1,1
53053071805,0.970507544581619,0.973251028806584,0.982853223593964,0.978737997256516,0.949245541838134,0.94718792866941,0.96159122085048,0.965020576131687,0.972565157750343,0.972565157750343,0.94238683127572,0.94238683127572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.05761316872428,1,1
53053071806,0.996570644718793,0.997942386831276,0.988340192043896,0.986968449931413,0.949245541838134,0.933470507544582,0.99039780521262,0.991769547325103,0.984224965706447,0.984224965706447,0.946502057613169,0.930727023319616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.069272976680384,1,1
53053071807,0.908093278463649,0.917695473251029,0.921124828532236,0.925240054869685,0.965706447187929,0.959533607681756,0.895061728395062,0.901920438957476,0.911522633744856,0.922496570644719,0.936899862825789,0.93278463648834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.104938271604938,1,1
53053071808,0.936899862825789,0.943758573388203,0.945130315500686,0.945130315500686,0.969135802469136,0.962962962962963,0.943758573388203,0.944444444444444,0.9519890260631,0.956104252400549,0.955418381344307,0.947873799725652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.063100137174211,1,1
53053071901,0.958161865569273,0.960905349794239,0.964334705075446,0.965706447187929,0.969135802469136,0.970507544581619,0.93758573388203,0.941015089163237,0.930041152263374,0.938957475994513,0.949931412894376,0.949931412894376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.069958847736626,1,1
