"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri_z_h.ss","fri_mm_h.ss","fri_d_h.ss","fri_z_h.m","fri_mm_h.m","fri_d_h.m","fri_z_nh.ss","fri_mm_nh.ss","fri_d_nh.ss","fri_z_nh.m","fri_mm_nh.m","fri_d_nh.m","frp_base","fri_base","frp_range","fri_counts","is_urban"
53017950101,0.77765237020316,0.304740406320542,0.41647855530474,0.18058690744921,0.625846501128668,0.259593679458239,0.738148984198646,0.520880361173815,0.299097065462754,0.188487584650113,0.772573363431151,0.568284424379233,1,0,0,0,0,0,1,0,1,0,0,0,0.689265536723,1,0.59706546275395,4,0
53017950102,0.906320541760722,0.561512415349887,0.7872460496614,0.430022573363431,0.845372460496614,0.560948081264108,0.922686230248307,0.802483069977427,0.623024830699774,0.335214446952596,0.945259593679458,0.832957110609481,1,1,1,0,0,0,1,0,1,1,0,1,0.894350282486,1,0.610045146726862,8,0
53017950200,0.7686230248307,0.500564334085779,0.693002257336343,0.452031602708804,0.862866817155756,0.742663656884876,0.788939051918736,0.632054176072235,0.498871331828442,0.31038374717833,0.915914221218962,0.822234762979684,1,1,1,0,0,1,1,0,1,0,0,1,0.793220338983,1,0.605530474040632,8,0
53017950300,0.41647855530474,0.285553047404063,0.251128668171558,0.220090293453725,0.585214446952596,0.534424379232506,0.419864559819413,0.335214446952596,0.248871331828442,0.238148984198646,0.613995485327314,0.588600451467269,0,0,0,0,0,0,0,0,0,0,0,0,0.60790960452,0,0.393905191873589,0,0
53017950400,0.2872460496614,0.325620767494357,0.293453724604966,0.325620767494357,0.505643340857788,0.566027088036117,0.406884875846501,0.399548532731377,0.356094808126411,0.387133182844244,0.695259593679458,0.705981941309255,0,0,0,0,0,0,0,0,1,0,0,1,0.382485875706,0,0.418735891647855,2,1
53017950500,0.813205417607223,0.846501128668172,0.808690744920993,0.83803611738149,0.862866817155756,0.870767494356659,0.87020316027088,0.891647855530474,0.909142212189616,0.912528216704289,0.892212189616253,0.912528216704289,1,1,1,1,1,1,1,1,1,1,1,1,0.885875706215,1,0.103837471783296,13,1
53017950600,0.272573363431151,0.315462753950339,0.340857787810384,0.362866817155756,0.41647855530474,0.560948081264108,0.348194130925508,0.360045146726862,0.338600451467269,0.366817155756208,0.52765237020316,0.605530474040632,0,0,0,0,0,0,0,0,0,0,0,0,0.231638418079,0,0.373892055961632,0,1
53017950700,0.895598194130926,0.881489841986456,0.943566591422122,0.933408577878104,0.774830699774266,0.798532731376975,0.937923250564334,0.924943566591422,0.943566591422122,0.937923250564334,0.922121896162528,0.917042889390519,1,1,1,1,1,1,1,1,1,1,1,1,0.828248587571,1,0.168735891647856,13,1
53017950800,0.875846501128668,0.867945823927765,0.921557562076749,0.914221218961625,0.845372460496614,0.872460496613995,0.925507900677201,0.917607223476298,0.922121896162528,0.918735891647856,0.953160270880361,0.955981941309255,1,1,1,1,1,1,1,1,1,1,1,1,0.826553672316,1,0.129428268993255,13,1
53019940000,0.849322799097065,0.467832957110609,0.559255079006772,0.223476297968397,0.822799097065463,0.553047404063205,0.853273137697517,0.664785553047404,0.361738148984199,0.135440180586907,0.933972911963883,0.753950338600451,1,0,1,0,0,0,1,0,1,1,0,1,0.85197740113,1,0.798532731376976,7,0
53019970100,0.901241534988713,0.452031602708804,0.573363431151242,0.238148984198646,0.774830699774266,0.421557562076749,0.816027088036117,0.609480812641084,0.327313769751693,0.145033860045147,0.897855530474041,0.705417607223476,1,0,1,0,0,0,1,0,1,0,0,1,0.832203389831,1,0.756207674943566,6,0
53019970200,0.581264108352144,0.236455981941309,0.269187358916479,0.0948081264108352,0.684537246049661,0.377539503386005,0.448081264108352,0.247742663656885,0.119074492099323,0.0524830699774266,0.765801354401806,0.519751693002257,0,0,1,0,0,0,0,0,1,0,0,0,0.653107344633,1,0.713318284424379,3,0
53021020101,0.742099322799097,0.709367945823928,0.610045146726862,0.617945823927765,0.656884875846501,0.654627539503386,0.898984198645598,0.877539503386005,0.840857787810384,0.843115124153499,0.720090293453725,0.730248306997743,1,0,1,1,0,1,1,1,1,1,1,1,0.8,1,0.288939051918736,11,1
53021020102,0.849887133182844,0.818848758465011,0.811512415349887,0.7872460496614,0.625846501128668,0.601015801354402,0.936794582392777,0.922121896162528,0.877539503386005,0.872460496613995,0.786681715575621,0.75,1,1,0,1,1,0,1,1,1,1,1,1,0.802259887006,1,0.335778781038375,11,1
53021020103,0.586343115124153,0.633747178329571,0.471783295711061,0.522009029345372,0.292325056433409,0.463318284424379,0.777088036117382,0.786681715575621,0.713882618510158,0.74097065462754,0.508465011286682,0.604401805869074,0,0,0,0,0,0,1,1,0,1,1,0,0.858757062147,1,0.566432005713591,5,1
53021020201,0.940180586907449,0.948081264108352,0.917607223476298,0.926636568848758,0.75,0.756772009029345,0.983069977426637,0.979683972911964,0.979119638826185,0.980812641083521,0.826749435665914,0.829006772009029,1,1,1,1,1,1,1,1,1,1,1,1,0.860169491525,1,0.233069977426637,13,1
53021020202,0.983634311512415,0.985891647855531,0.99097065462754,0.991534988713318,0.975169300225734,0.968961625282167,0.993227990970655,0.992099322799097,0.993227990970655,0.993227990970655,0.997742663656885,0.998306997742664,1,1,1,1,1,1,1,1,1,1,1,1,0.984745762712,1,0.029345372460497,13,1
53021020300,0.972911963882618,0.9627539503386,0.936230248306998,0.928329571106095,0.94469525959368,0.924943566591422,0.973476297968397,0.970654627539503,0.946952595936795,0.94920993227991,0.978555304740406,0.975169300225734,1,1,1,1,1,1,1,1,1,1,1,1,0.992655367232,1,0.067711800640578,13,1
